:START_ID(Tweet),:END_ID(Tweet),:TYPE
930045287069921285,930045418691469312,Retweeted
930045418683097088,930045287069921285,Retweet
930045287069921285,930045418683097088,Retweeted
930045418666262528,930045287069921285,Retweet
930045287069921285,930045418666262528,Retweeted
930045418657923073,930045287069921285,Retweet
930045287069921285,930045418657923073,Retweeted
930045418657873920,930045287069921285,Retweet
930045287069921285,930045418657873920,Retweeted
930045418456498177,930045287069921285,Retweet
930045287069921285,930045418456498177,Retweeted
930045418393690112,930045287069921285,Retweet
930045287069921285,930045418393690112,Retweeted
930045418305609730,930045287069921285,Retweet
930045287069921285,930045418305609730,Retweeted
930045418301308928,930045287069921285,Retweet
930045287069921285,930045418301308928,Retweeted
930045418297114625,930045287069921285,Retweet
930045287069921285,930045418297114625,Retweeted
930045418297114624,930045287069921285,Retweet
930045287069921285,930045418297114624,Retweeted
930045418292985856,930045287069921285,Retweet
930045287069921285,930045418292985856,Retweeted
930045418292965376,930045287069921285,Retweet
930045287069921285,930045418292965376,Retweeted
930045418280427520,930045287069921285,Retweet
930045287069921285,930045418280427520,Retweeted
930045418276249600,930045287069921285,Retweet
930045287069921285,930045418276249600,Retweeted
930045418263605248,930045287069921285,Retweet
930045287069921285,930045418263605248,Retweeted
930045418255237121,930045287069921285,Retweet
930045287069921285,930045418255237121,Retweeted
930045418255159296,930045287069921285,Retweet
930045287069921285,930045418255159296,Retweeted
930045418238459905,930045287069921285,Retweet
930045287069921285,930045418238459905,Retweeted
930045418238382082,930045287069921285,Retweet
930045287069921285,930045418238382082,Retweeted
930045418225799168,930045287069921285,Retweet
930045287069921285,930045418225799168,Retweeted
930045418213273600,930045287069921285,Retweet
930045287069921285,930045418213273600,Retweeted
930045418175586304,930045287069921285,Retweet
930045287069921285,930045418175586304,Retweeted
930045418011901954,930045287069921285,Retweet
930045287069921285,930045418011901954,Retweeted
930045417986801666,930045287069921285,Retweet
930045287069921285,930045417986801666,Retweeted
930045417970057218,930045287069921285,Retweet
930045287069921285,930045417970057218,Retweeted
930045417957474304,930045287069921285,Retweet
930045287069921285,930045417957474304,Retweeted
930045417953280000,930045287069921285,Retweet
930045287069921285,930045417953280000,Retweeted
930045417911336960,930045287069921285,Retweet
930045287069921285,930045417911336960,Retweeted
930045417907036161,930045287069921285,Retweet
930045287069921285,930045417907036161,Retweeted
930045417894526976,930045287069921285,Retweet
930045287069921285,930045417894526976,Retweeted
930045417886162945,930045287069921285,Retweet
930045287069921285,930045417886162945,Retweeted
930045417873596417,930045287069921285,Retweet
930045287069921285,930045417873596417,Retweeted
930045417848324096,930045287069921285,Retweet
930045287069921285,930045417848324096,Retweeted
930045417827352576,930045287069921285,Retweet
930045287069921285,930045417827352576,Retweeted
930045417814769664,930045287069921285,Retweet
930045287069921285,930045417814769664,Retweeted
930045417798057989,930045287069921285,Retweet
930045287069921285,930045417798057989,Retweeted
930045417483411456,930045287069921285,Retweet
930045287069921285,930045417483411456,Retweeted
930045417462554624,930045287069921285,Retweet
930045287069921285,930045417462554624,Retweeted
930045417449852928,930045287069921285,Retweet
930045287069921285,930045417449852928,Retweeted
930045417445777413,930045287069921285,Retweet
930045287069921285,930045417445777413,Retweeted
930045417437274113,930045287069921285,Retweet
930045287069921285,930045417437274113,Retweeted
930045417416417281,930045287069921285,Retweet
930045287069921285,930045417416417281,Retweeted
930045417416302592,930045287069921285,Retweet
930045287069921285,930045417416302592,Retweeted
930045417408012288,930045287069921285,Retweet
930045287069921285,930045417408012288,Retweeted
930045417399631872,930045287069921285,Retweet
930045287069921285,930045417399631872,Retweeted
930045417391194113,930045287069921285,Retweet
930045287069921285,930045417391194113,Retweeted
930045417378660353,930045287069921285,Retweet
930045287069921285,930045417378660353,Retweeted
930045417361772544,930045287069921285,Retweet
930045287069921285,930045417361772544,Retweeted
930045417303060481,930045287069921285,Retweet
