:START_ID(User),:END_ID(Tweet),:TYPE
21011616,930045501117956097,Post
930045501117956097,21011616,Posted
14475647,930045501092913152,Post
930045501092913152,14475647,Posted
2806991806,930045499448741888,Post
930045499448741888,2806991806,Posted
873273945105084419,930045498844528640,Post
930045498844528640,873273945105084419,Posted
813552405769924608,930045498752462848,Post
930045498752462848,813552405769924608,Posted
196629879,930045498412675072,Post
930045498412675072,196629879,Posted
28876895,930045498324668416,Post
930045498324668416,28876895,Posted
804678784104402944,930045498249105408,Post
930045498249105408,804678784104402944,Posted
902103107433320449,930045498098110464,Post
930045498098110464,902103107433320449,Posted
772896711303892992,930045498085519360,Post
930045498085519360,772896711303892992,Posted
319963157,930045497993199616,Post
930045497993199616,319963157,Posted
14061330,930045497976516608,Post
930045497976516608,14061330,Posted
14061330,930045497850712064,Post
930045497850712064,14061330,Posted
879128827254853632,930045497783435264,Post
930045497783435264,879128827254853632,Posted
751074543066832896,930045497452068864,Post
930045497452068864,751074543066832896,Posted
373507931,930045496714055681,Post
930045496714055681,373507931,Posted
624423136,930045496676233216,Post
930045496676233216,624423136,Posted
884781633232134146,930045496374292481,Post
930045496374292481,884781633232134146,Posted
4890383820,930045496319623168,Post
930045496319623168,4890383820,Posted
787838018,930045496114208768,Post
930045496114208768,787838018,Posted
2751992712,930045495862579200,Post
930045495862579200,2751992712,Posted
718603119194742784,930045495396962306,Post
930045495396962306,718603119194742784,Posted
830577122469146624,930045494855962624,Post
930045494855962624,830577122469146624,Posted
731548760954675200,930045494671183872,Post
930045494671183872,731548760954675200,Posted
270133225,930045494277103617,Post
930045494277103617,270133225,Posted
2748382001,930045494188965888,Post
930045494188965888,2748382001,Posted
154477339,930045493744300032,Post
930045493744300032,154477339,Posted
375728815,930045493689937921,Post
930045493689937921,375728815,Posted
1018298180,930045493572497408,Post
930045493572497408,1018298180,Posted
293002392,930045493362733056,Post
930045493362733056,293002392,Posted
281531315,930045491643109376,Post
930045491643109376,281531315,Posted
1227090054,930045491383099392,Post
930045491383099392,1227090054,Posted
849681443903221764,930045491341119488,Post
930045491341119488,849681443903221764,Posted
39609732,930045491068403712,Post
930045491068403712,39609732,Posted
16257370,930045490661441536,Post
930045490661441536,16257370,Posted
4755442692,930045490103816193,Post
930045490103816193,4755442692,Posted
3043203738,930045490040852481,Post
930045490040852481,3043203738,Posted
36533962,930045489655042048,Post
930045489655042048,36533962,Posted
148107997,930045489613037573,Post
930045489613037573,148107997,Posted
709828169,930045489038417920,Post
930045489038417920,709828169,Posted
877505943973580801,930045488178528256,Post
930045488178528256,877505943973580801,Posted
111093994,930045488145096705,Post
930045488145096705,111093994,Posted
871710576799612930,930045487935315968,Post
930045487935315968,871710576799612930,Posted
738777612529602560,930045487549435905,Post
930045487549435905,738777612529602560,Posted
1466009443,930045486622498816,Post
930045486622498816,1466009443,Posted
702238030984253440,930045486538600448,Post
930045486538600448,702238030984253440,Posted
828272833956610048,930045486374862848,Post
930045486374862848,828272833956610048,Posted
908796217542443008,930045486362447873,Post
930045486362447873,908796217542443008,Posted
906213110431735808,930045485557190658,Post
930045485557190658,906213110431735808,Posted
425482648,930045485343154177,Post
930045485343154177,425482648,Posted
4894886845,930045485330640897,Post
930045485330640897,4894886845,Posted
475072280,930045485217472512,Post
930045485217472512,475072280,Posted
